[CLIENT-0-SCAFFOLD] Run started at: 2026-03-23 09:37:01
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] FeCoGraph SCAFFOLD Client 0
[CLIENT-0-SCAFFOLD] Device: cpu
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] Train: 25,353 | Test: 59,159 | Labeled: 7604
[CLIENT-0-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-0-SCAFFOLD] Connected and registered.
[CLIENT-0-SCAFFOLD]   Round 77 | Loss=6.5265 | Acc(G)=0.9260 | Acc(P)=0.9956 | F1(P)=0.8387 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 78 | Loss=6.5270 | Acc(G)=0.9238 | Acc(P)=0.9947 | F1(P)=0.8097 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 79 | Loss=6.5272 | Acc(G)=0.9259 | Acc(P)=0.9971 | F1(P)=0.8739 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 80 | Loss=6.5276 | Acc(G)=0.9258 | Acc(P)=0.9942 | F1(P)=0.7991 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 81 | Loss=6.5261 | Acc(G)=0.9274 | Acc(P)=0.9968 | F1(P)=0.8644 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 82 | Loss=6.5225 | Acc(G)=0.9267 | Acc(P)=0.9950 | F1(P)=0.8164 | Time=7.3s
[CLIENT-0-SCAFFOLD]   Round 83 | Loss=6.5264 | Acc(G)=0.9186 | Acc(P)=0.9962 | F1(P)=0.8567 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 84 | Loss=6.5282 | Acc(G)=0.9277 | Acc(P)=0.9965 | F1(P)=0.8542 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 85 | Loss=6.5239 | Acc(G)=0.9305 | Acc(P)=0.9902 | F1(P)=0.7350 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 86 | Loss=6.5243 | Acc(G)=0.9268 | Acc(P)=0.9951 | F1(P)=0.8286 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 87 | Loss=6.5212 | Acc(G)=0.9219 | Acc(P)=0.9934 | F1(P)=0.7922 | Time=7.5s
[CLIENT-0-SCAFFOLD]   Round 88 | Loss=6.5220 | Acc(G)=0.9147 | Acc(P)=0.9973 | F1(P)=0.8825 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 89 | Loss=6.5199 | Acc(G)=0.9181 | Acc(P)=0.9961 | F1(P)=0.8536 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 90 | Loss=6.5241 | Acc(G)=0.9268 | Acc(P)=0.9951 | F1(P)=0.8282 | Time=6.6s
[CLIENT-0-SCAFFOLD]   Round 91 | Loss=6.5185 | Acc(G)=0.9234 | Acc(P)=0.9967 | F1(P)=0.8613 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 92 | Loss=6.5213 | Acc(G)=0.9276 | Acc(P)=0.9972 | F1(P)=0.8849 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 93 | Loss=6.5259 | Acc(G)=0.9269 | Acc(P)=0.9966 | F1(P)=0.8664 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 94 | Loss=6.5254 | Acc(G)=0.9234 | Acc(P)=0.9955 | F1(P)=0.8301 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 95 | Loss=6.5205 | Acc(G)=0.9215 | Acc(P)=0.9956 | F1(P)=0.8392 | Time=7.2s
[CLIENT-0-SCAFFOLD]   Round 96 | Loss=6.5266 | Acc(G)=0.9279 | Acc(P)=0.9975 | F1(P)=0.8943 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 97 | Loss=6.5219 | Acc(G)=0.9290 | Acc(P)=0.9958 | F1(P)=0.8357 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 98 | Loss=6.5187 | Acc(G)=0.9233 | Acc(P)=0.9965 | F1(P)=0.8644 | Time=6.7s
[CLIENT-0-SCAFFOLD]   Round 99 | Loss=6.5243 | Acc(G)=0.9285 | Acc(P)=0.9960 | F1(P)=0.8434 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 100 | Loss=6.5208 | Acc(G)=0.9150 | Acc(P)=0.9968 | F1(P)=0.8640 | Time=6.8s
[CLIENT-0-SCAFFOLD] Received SHUTDOWN. Training complete.
[CLIENT-0-SCAFFOLD] Client done.
