[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 08:23:25
[CLIENT-1-SCAFFOLD] Run ID: 20260325_082325
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_sslcon\logs\client_1_20260325_082325.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 59 | Loss=4.9770 | Acc(G)=0.0172 | Acc(P)=0.7425 | F1(P)=0.5350 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 60 | Loss=5.0449 | Acc(G)=0.2547 | Acc(P)=0.7508 | F1(P)=0.5038 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 61 | Loss=4.9734 | Acc(G)=0.0176 | Acc(P)=0.7815 | F1(P)=0.5215 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 62 | Loss=5.0643 | Acc(G)=0.2547 | Acc(P)=0.7648 | F1(P)=0.5142 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 63 | Loss=4.9775 | Acc(G)=0.0174 | Acc(P)=0.7707 | F1(P)=0.5118 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 64 | Loss=5.0559 | Acc(G)=0.2547 | Acc(P)=0.7607 | F1(P)=0.4953 | Time=7.9s
[CLIENT-1-SCAFFOLD]   Round 65 | Loss=4.9766 | Acc(G)=0.0179 | Acc(P)=0.7843 | F1(P)=0.5787 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 66 | Loss=5.0376 | Acc(G)=0.2547 | Acc(P)=0.7778 | F1(P)=0.5177 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 67 | Loss=4.9707 | Acc(G)=0.0178 | Acc(P)=0.7996 | F1(P)=0.6072 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 68 | Loss=5.0714 | Acc(G)=0.2547 | Acc(P)=0.7543 | F1(P)=0.5100 | Time=7.8s
[CLIENT-1-SCAFFOLD]   Round 69 | Loss=4.9688 | Acc(G)=0.0181 | Acc(P)=0.8089 | F1(P)=0.5772 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 70 | Loss=5.0741 | Acc(G)=0.2547 | Acc(P)=0.7714 | F1(P)=0.5503 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 71 | Loss=4.9787 | Acc(G)=0.0174 | Acc(P)=0.8020 | F1(P)=0.5579 | Time=7.8s
[CLIENT-1-SCAFFOLD]   Round 72 | Loss=5.0601 | Acc(G)=0.2547 | Acc(P)=0.7885 | F1(P)=0.5799 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 73 | Loss=4.9805 | Acc(G)=0.0173 | Acc(P)=0.8053 | F1(P)=0.6209 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 74 | Loss=5.0384 | Acc(G)=0.2547 | Acc(P)=0.8262 | F1(P)=0.5730 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 75 | Loss=4.9842 | Acc(G)=0.0172 | Acc(P)=0.7891 | F1(P)=0.5287 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 76 | Loss=5.0481 | Acc(G)=0.2547 | Acc(P)=0.8000 | F1(P)=0.5771 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 77 | Loss=4.9980 | Acc(G)=0.0171 | Acc(P)=0.8188 | F1(P)=0.5165 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 78 | Loss=5.0661 | Acc(G)=0.2547 | Acc(P)=0.7804 | F1(P)=0.5375 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 79 | Loss=4.9718 | Acc(G)=0.0182 | Acc(P)=0.8061 | F1(P)=0.5877 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 80 | Loss=5.0500 | Acc(G)=0.2547 | Acc(P)=0.8256 | F1(P)=0.5806 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 81 | Loss=4.9793 | Acc(G)=0.0177 | Acc(P)=0.8622 | F1(P)=0.5701 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 82 | Loss=5.0700 | Acc(G)=0.2547 | Acc(P)=0.7889 | F1(P)=0.5093 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 83 | Loss=4.9708 | Acc(G)=0.0178 | Acc(P)=0.7877 | F1(P)=0.5527 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 84 | Loss=5.0483 | Acc(G)=0.2547 | Acc(P)=0.7943 | F1(P)=0.5817 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 85 | Loss=4.9720 | Acc(G)=0.0188 | Acc(P)=0.7896 | F1(P)=0.5983 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 86 | Loss=5.0627 | Acc(G)=0.2547 | Acc(P)=0.8268 | F1(P)=0.6006 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 87 | Loss=4.9856 | Acc(G)=0.0171 | Acc(P)=0.8239 | F1(P)=0.5627 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 88 | Loss=5.0394 | Acc(G)=0.2547 | Acc(P)=0.8162 | F1(P)=0.5201 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 89 | Loss=4.9758 | Acc(G)=0.0177 | Acc(P)=0.8675 | F1(P)=0.5595 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 90 | Loss=5.0451 | Acc(G)=0.2547 | Acc(P)=0.8249 | F1(P)=0.6119 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 91 | Loss=4.9504 | Acc(G)=0.0184 | Acc(P)=0.7603 | F1(P)=0.5465 | Time=9.1s
[CLIENT-1-SCAFFOLD]   Round 92 | Loss=5.0631 | Acc(G)=0.2547 | Acc(P)=0.8019 | F1(P)=0.5152 | Time=11.1s
[CLIENT-1-SCAFFOLD]   Round 93 | Loss=4.9851 | Acc(G)=0.0175 | Acc(P)=0.7938 | F1(P)=0.5241 | Time=7.6s
[CLIENT-1-SCAFFOLD]   Round 94 | Loss=5.0649 | Acc(G)=0.2547 | Acc(P)=0.7949 | F1(P)=0.5534 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 95 | Loss=4.9678 | Acc(G)=0.0174 | Acc(P)=0.8274 | F1(P)=0.5991 | Time=8.7s
[CLIENT-1-SCAFFOLD]   Round 96 | Loss=5.0631 | Acc(G)=0.2547 | Acc(P)=0.7800 | F1(P)=0.5067 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 97 | Loss=4.9743 | Acc(G)=0.0174 | Acc(P)=0.7894 | F1(P)=0.5430 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 98 | Loss=5.0560 | Acc(G)=0.2547 | Acc(P)=0.7896 | F1(P)=0.5368 | Time=8.9s
[CLIENT-1-SCAFFOLD]   Round 99 | Loss=4.9880 | Acc(G)=0.0176 | Acc(P)=0.7927 | F1(P)=0.5892 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 100 | Loss=5.0511 | Acc(G)=0.2547 | Acc(P)=0.7984 | F1(P)=0.5802 | Time=8.7s
[CLIENT-1-SCAFFOLD] Received SHUTDOWN. Training complete.
[CLIENT-1-SCAFFOLD] Client done.
