[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 07:11:27
[CLIENT-1-SCAFFOLD] Run ID: 20260325_071127
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_binary_sslcon\logs\client_1_20260325_071127.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 60 | Loss=4.8984 | Acc(G)=0.3808 | Acc(P)=0.9519 | F1(P)=0.9397 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 61 | Loss=4.8440 | Acc(G)=0.4176 | Acc(P)=0.9507 | F1(P)=0.9383 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 62 | Loss=4.9063 | Acc(G)=0.3771 | Acc(P)=0.9508 | F1(P)=0.9385 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 63 | Loss=4.8473 | Acc(G)=0.4175 | Acc(P)=0.9529 | F1(P)=0.9409 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 64 | Loss=4.8935 | Acc(G)=0.3717 | Acc(P)=0.9521 | F1(P)=0.9400 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 65 | Loss=4.8513 | Acc(G)=0.4164 | Acc(P)=0.9535 | F1(P)=0.9416 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 66 | Loss=4.9029 | Acc(G)=0.3709 | Acc(P)=0.9544 | F1(P)=0.9428 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 67 | Loss=4.8405 | Acc(G)=0.4165 | Acc(P)=0.9531 | F1(P)=0.9411 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 68 | Loss=4.8968 | Acc(G)=0.3584 | Acc(P)=0.9520 | F1(P)=0.9398 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 69 | Loss=4.8330 | Acc(G)=0.4144 | Acc(P)=0.9595 | F1(P)=0.9488 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 70 | Loss=4.9028 | Acc(G)=0.3582 | Acc(P)=0.9590 | F1(P)=0.9481 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 71 | Loss=4.8427 | Acc(G)=0.4141 | Acc(P)=0.9600 | F1(P)=0.9494 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 72 | Loss=4.9044 | Acc(G)=0.3599 | Acc(P)=0.9597 | F1(P)=0.9490 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 73 | Loss=4.8485 | Acc(G)=0.4139 | Acc(P)=0.9592 | F1(P)=0.9485 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 74 | Loss=4.8879 | Acc(G)=0.3570 | Acc(P)=0.9594 | F1(P)=0.9487 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 75 | Loss=4.8430 | Acc(G)=0.4140 | Acc(P)=0.9600 | F1(P)=0.9494 | Time=6.0s
